Market,Side,Date,Position Size,Payment,Rate
RESOLV,short,2025-11-23 14:00:00,124,0.000790,0.000052%
PENDLE,short,2025-11-23 14:00:00,11.06,0.000198,0.000008%
POPCAT,short,2025-11-23 14:00:00,167.7,0.000182,0.000012%
MON,short,2025-11-23 13:00:00,496.1,0.002217,0.000144%
LINEA,short,2025-11-23 13:00:00,1546,-0.001266,-0.000084%
RESOLV,short,2025-11-23 13:00:00,123,0.000180,0.000012%
POPCAT,short,2025-11-23 13:00:00,166.2,0.000180,0.000012%
MON,short,2025-11-23 12:00:00,502.9,0.004812,0.000319%
ZORA,short,2025-11-23 12:00:00,1105,-0.002842,-0.000049%
POPCAT,short,2025-11-23 12:00:00,167.8,0.000182,0.000012%
BERA,short,2025-11-23 12:00:00,14.7,-0.001896,-0.000125%
MON,short,2025-11-23 01:00:00,522.4,0.005116,0.000342%
AVNT,short,2025-11-23 01:00:00,37.8,-0.002270,-0.000150%
WLFI,long,2025-11-22 22:00:00,109.4,0.001141,-0.000067%
TIA,short,2025-11-22 22:00:00,24.4,0.000182,0.000012%
ZRO,long,2025-11-22 22:00:00,11.9,0.001107,-0.000074%
TON,long,2025-11-22 22:00:00,11.0,0.000578,-0.000034%
